e,r,r
797,-70,-21
798,-69,-20
799,-15,-64
800,-60,-11
801,-21,-70
802,-17,-66
803,-18,-67
804,-28,-77
805,-7,-56
806,-18,-67
807,-57,-106
808,-13,-62
809,-58,-9
810,-13,-62
811,-18,-67
812,-22,-71
813,-19,-68
814,-18,-67
815,-57,-8
816,-93,-44
817,-8,-57
818,-74,-25
819,-19,-68
820,-37,-86
821,-27,-76
822,-14,-63
823,-6,-55
824,-10,-59
825,-33,-82
826,-25,-74
827,-100,-51
828,-27,-76
829,-67,-18
830,-7,-56
831,-6,-55
832,-14,-63
833,-23,-72
834,-73,-24
835,-72,-23
836,-7,-56
837,-60,-11
838,-19,-68
839,-92,-43
840,-4,-53
841,-27,-76
842,-66,-17
843,-14,-63
844,-97,-48
845,-25,-74
846,-62,-13
847,-58,-9
848,-67,-18
849,-20,-69
850,-70,-21
851,-6,-55
852,-55,-55
853,-16,-65
854,-17,-66
855,-62,-13
856,-68,-19
857,-25,-74
858,-30,-79
859,-81,-32
860,-13,-62
861,-18,-67
862,-4,-53
863,-12,-61
864,-71,-22
865,-15,-64
866,-64,-64
867,-19,-68
868,-10,-59
869,-60,-11
870,-58,-9
871,-61,-12
872,-80,-31
873,-49,-98
874,-4,-53
875,-64,-15
876,-27,-76
877,-60,-11
878,-17,-66
879,-11,-60
880,-47,-96
881,-9,-58
882,-91,-42
883,-20,-69
884,-77,-28
885,-6,-55
886,-13,-62
887,-77,-28
888,-12,-61
889,-20,-69
890,-59,-10
891,-8,-57
892,-51,-100
893,-62,-62
894,-7,-56
895,-12,-61
896,-4,-53
897,-28,-77
898,-7,-56
899,-93,-44
900,-34,-83
901,-109,-60
902,-73,-24
903,-62,-13
904,-6,-55
905,-25,-74
906,-57,-8
907,-31,-80
908,-25,-74
909,-11,-60
910,-7,-56
911,-45,-94
912,-47,-96
913,-65,-16
914,-13,-62
915,-7,-56
916,-98,-98
917,-53,-4
918,-23,-72
919,-60,-11
920,-5,-54
921,-19,-68
922,-12,-61
923,-8,-57
924,-58,-9
925,-28,-77
926,-24,-73
927,-9,-58
928,-16,-65
929,-64,-15
930,-91,-91
931,-50,-99
932,-61,-12
933,-23,-72
934,-16,-65
935,-47,-96
936,-11,-60
937,-12,-61
938,-15,-64
939,-60,-11
940,-11,-60
941,-42,-91
942,-32,-81
943,-8,-57
944,-97,-48
945,-13,-62
946,-10,-59
947,-77,-28
948,-5,-54
949,-66,-17
950,-85,-36
951,-50,-99
952,-66,-17
953,-39,-88
954,-20,-69
955,-71,-22
956,-7,-56
957,-9,-58
958,-5,-54
959,-51,-100
960,-13,-62
961,-4,-53
962,-56,-105
963,-120,-71
964,-19,-68
965,-12,-61
966,-25,-74
967,-65,-16
968,-9,-58
969,-5,-54
970,-64,-15
971,-57,-8
972,-25,-74
973,-72,-23
974,-12,-61
975,-8,-57
976,-18,-67
977,-75,-26
978,-11,-60
979,-7,-56
980,-16,-65
981,-82,-33
982,-60,-11
983,-56,-7
984,-9,-58
985,-11,-60
986,-24,-73
987,-124,-75
988,-26,-75
989,-15,-64
990,-12,-61
991,-8,-57
992,-6,-55
993,-55,-104
994,-64,-15
995,-8,-57
996,-7,-56
997,-98,-98
998,-8,-57
999,-22,-71
1000,-33,-82
1001,-8,-57
